Rank,Company,Industry,Revenue,Profit,Profit %,Year,Employees
104,General Dynamics,"Aerospace, Defense",42272,3315,0.078420704,2024,111600
109,Northrop Grumman,"Aerospace, Defense",39290,2056,0.052328837,2024,101000
209,L3Harris Technologies,"Aerospace, Defense",19419,1227,0.06318554,2024,50000
308,Textron,"Aerospace, Defense",13683,921,0.0673098,2024,35000
357,Huntington Ingalls Industries,"Aerospace, Defense",11454,681,0.059455212,2024,44000
57,Rtx,"Aerospace, Defense",67074,5197,0.077481588,2023,182000
58,Boeing,"Aerospace, Defense",66608,4935,0.074090199,2023,156000
60,Lockheed Martin,"Aerospace, Defense",65984,5732,0.086869544,2023,116000
105,General Dynamics,"Aerospace, Defense",39407,3390,0.086025325,2023,106500
113,Northrop Grumman,"Aerospace, Defense",36602,4896,0.133763182,2023,95000
246,L3Harris Technologies,"Aerospace, Defense",17062,1062,0.062243582,2023,46000
318,Textron,"Aerospace, Defense",12869,861,0.066904965,2023,34000
375,Huntington Ingalls Industries,"Aerospace, Defense",10676,579,0.054233795,2023,43000
55,Lockheed Martin,"Aerospace, Defense",67044,6315,0.094191874,2022,114000
58,Rtx,"Aerospace, Defense",64388,3864,0.060011182,2022,174000
60,Boeing,"Aerospace, Defense",62286,-4202,-0.067462993,2022,142000
94,General Dynamics,"Aerospace, Defense",38469,3257,0.084665575,2022,103100
101,Northrop Grumman,"Aerospace, Defense",35667,7005,0.196400034,2022,88000
206,L3Harris Technologies,"Aerospace, Defense",17814,1846,0.103626361,2022,47000
302,Textron,"Aerospace, Defense",12382,746,0.060248748,2022,33000
370,Huntington Ingalls Industries,"Aerospace, Defense",9524,544,0.057118858,2022,44000
49,Lockheed Martin,"Aerospace, Defense",65398,6833,0.104483318,2021,114000
54,Boeing,"Aerospace, Defense",58158,-11873,-0.204150762,2021,141000
57,Rtx,"Aerospace, Defense",56587,-3519,-0.062187428,2021,181000
84,General Dynamics,"Aerospace, Defense",37925,3167,0.083506922,2021,100700
86,Northrop Grumman,"Aerospace, Defense",36799,3189,0.086659964,2021,97000
163,L3Harris Technologies,"Aerospace, Defense",18194,1119,0.061503792,2021,48000
265,Textron,"Aerospace, Defense",11651,309,0.026521329,2021,33000
327,Huntington Ingalls Industries,"Aerospace, Defense",9361,696,0.074351031,2021,42000
39,Raytheon Technologies,"Aerospace, Defense",77046,5537,0.071866158,2020,243200
40,Boeing,"Aerospace, Defense",76559,636,0.008307319,2020,161100
57,Lockheed Martin,"Aerospace, Defense",59812,6230,0.1041597,2020,110000
83,General Dynamics,"Aerospace, Defense",39350,3484,0.088538755,2020,102900
96,Northrop Grumman,"Aerospace, Defense",33841,2248,0.066428297,2020,90000
108,Rtx,"Aerospace, Defense",29176,3343,0.114580477,2020,70000
226,Howmet Aerospace,"Aerospace, Defense",14192,470,0.033117249,2020,41700
236,Textron,"Aerospace, Defense",13630,815,0.059794571,2020,35000
250,L3Harris Technologies,"Aerospace, Defense",12856,1333,0.103686994,2020,50000
357,Huntington Ingalls Industries,"Aerospace, Defense",8899,549,0.061692325,2020,42000
406,Spirit Aerosystems Holdings,"Aerospace, Defense",7863,530,0.067404299,2020,18200
28,Boeing,"Aerospace, Defense",101127,10460,0.103434295,2019,153000
46,United Technologies,"Aerospace, Defense",66501,5269,0.079231891,2019,240200
60,Lockheed Martin,"Aerospace, Defense",53762,5046,0.093858115,2019,105000
92,General Dynamics,"Aerospace, Defense",36193,3345,0.092421186,2019,105600
108,Northrop Grumman,"Aerospace, Defense",30095,3229,0.10729357,2019,85000
114,Rtx,"Aerospace, Defense",27058,2909,0.107509794,2019,67000
229,Textron,"Aerospace, Defense",13972,1222,0.087460636,2019,35000
290,L3 Technologies,"Aerospace, Defense",10841,1005,0.092703625,2019,31000
350,Rockwell Collins,"Aerospace, Defense",8665,1032,0.119099827,2019,31200
371,Huntington Ingalls Industries,"Aerospace, Defense",8176,836,0.102250489,2019,40000
420,Spirit Aerosystems Holdings,"Aerospace, Defense",7222,617,0.085433398,2019,17000
474,L3Harris Technologies,"Aerospace, Defense",6182,718,0.116143643,2019,17500
27,Boeing,"Aerospace, Defense",93392,8197,0.08776983,2018,140800
